제목	본문요약
잉글랜드, 체코 꺾고 유로2020 조 1위 16강행	잉글랜드가 체코를 꺾고 조 1위로  16강에 합류했다. 잉글랜드는 23일 오전(한국시간) 영국 런던 웸블리에서 열린  D조 3차전에서 체코에 1-0으로 이겼다. 잉글랜드는 이날 승리로 2승1무(승점 7점)를...
3년 만에 조우한 'UCL 3연패' 동료 간의 친목도모 [유로2020]	포르투갈과 프랑스는 24일(한국시각) 부다페스트에서 열린 UEFA  F조 최종전 맞대결을 펼쳤다. 양 팀 선발 라인업에는 크리스티아누 호날두(포르투갈)와 카림 벤제마(프랑스)가 각각 최전방 공격수로 선발...
첼시, 유로2020 16강 진출 선수 최다 배출팀...'길모어만 탈락'	유럽축구연맹(UEFA)  16강 진출팀이 확정된 지금, 16강행에 성공한 선수들을 가장 많이 배출한 팀은 첼시였다. 영국 매체 '트리뷰나'는 24일(현지시간) "16강행에 성공한 선수들 중 가장 많은 비중을 차지한 팀은...
마운트 선발...'찬성' 램파드 vs '반대' 타운센드 [유로2020]	첼시 감독으로 마운트를 직접 발굴해 주전 선수로 기용했던 램파드는 마운트의 비상한 머리를 이 들었다. 그는 "코로나19 음성 판정이 나온 마운트의 건강은 의심의 여지가 없다. 스스로를 어떻게 관리하는지, 그의...
유로 우승 확률 공개...프랑스-벨기에-스페인 3강 체제	에서 우승할 나라는 어디가 될까. 축구 통계 매체 'OPTA'는 24일(한국시간) 각 팀의 경기력 데이터를 바탕으로 예측한  우승 확률을 정리해 발표했다. 현재 유로는 조별리그가 끝나고 16강 대진이...
[사진] 2020유로 축구 스웨덴 vs 폴란드	축구 스웨덴 vs 폴란드 [사진=로이터]
호날두vs음바페, 포르투갈-프랑스 조별리그 최종전 선발 공개[유로 2020]	포르투갈과 프랑스는 24일(한국시간) 오전 4시 헝가리의 부다페스트 푸스카스 아레나에서  F조 조별리그 최종전을 치른다. 두 팀은 독일 및 헝가리와 함께 일명 ‘죽음의 조’인 F조에 속해있다. 1차전서 독일에...
[유로리뷰]독일, 헝가리에 2대2 무승부! 천신만고 끝 16강 진출	독일이 우여곡절 끝에  16강에 올랐다. 독일은 23일 오후(현지시각) 독일 뮌헨 알리안츠 아레나에서 열린 헝가리와의  F조 3차전에서 2대2로 비겼다. 1승1무1패를 기록한 독일은 승점 4를 기록하며 조2위로...
내심 잉글랜드 탈락 바라는 맨시티? "케인 이적 포커스, 유로에 쏠릴 것"	맨체스터 시티가 내심 잉글랜드의  조기 탈락을 바랄 지도 모른다. 영국 매체 ‘스카이스포츠’의 폴 길모어 기자는 “해리 케인의 기나긴 이적 사가에서 맨시티의 첫 번째 제안이 이뤄졌다”라며 “케인은...
'프랑스, 월드컵-유로 연달아 제패' 스포츠 AI의 예측, 16강 팀 중 최고	유럽축구연맹(UEFA) 유럽축구선수권대회() 조별리그 일정이 모두 끝났다. 각 조 1,2위 팀들과 3위 팀들 중 상위 4개팀이 16강에 진출했다. ‘죽음의 조’ F조의 프랑스, 독일, 포르투갈은 모두 조별리그를 통과했고...
영국 정부, 유로 2020 준결승부터 6만명 이상 입장 허용	뉴시스 영국 런던 웸블리 스타디움에서 열리는  준결승전과 결승전이 6만여 관객의 현장 함성으로 가득찰 전망이다. 22일 AFP통신에 따르면 영국 정부는 이날  준결승전부터 입장 허용 관객 수를 6만명...
[유로 2020] 이탈리아·오스트리아 맞대결, 웸블리의 승자가 웸블리로 간다	/  공식 홈페이지 이제는 단판 승부다. 이탈리아와 오스트리아가 다음 라운드 위한 맞대결을 펼친다. 이탈리아와 오스트리아는 27일 오전 4시(한국시각) 런던 웸블리 스타디움에서  16강에서 진검승부를...
'역사두' 호날두, 유로+월드컵서만 20골 넣었다... 플라티니 기록도 정조준	프랑스와 포르투갈은 24일(한국시간) 헝가리 부다페스트의 푸스카스 아레나서 열린  F조 조별리그 최종 3차전서 2-2로 비겼다. 레알 마드리드서 한솥밥을 먹었던 카림 벤제마(프랑스)와 크리스티아누 호날두...
[유로2020 E조 리뷰] '2승 1무' 스웨덴...'드디어 터진' 스페인	폴란드의  여정은 승점 1점으로 끝났다. 폴란드는 매치데이 1, 슬로바키아를 상대로 패했다. 매치데이 2에서 스페인을 상대로 동점골을 기록하며 얻능 승점 1점으로 16강을 향한 불씨를 살렸다. 하지만...
유로 2020, 준결승 및 결승전 6만 관중 입장 허용	코로나19 속에 치러지고 있는 유럽축구선수권대회()가 준결승부터는 6만여 관중의 함성으로 뜨겁게 달아오를 것으로 보인다. 유럽축구연맹(UEFA)는 지난 22일 공식 홈페이지를 통해 영국 런던 웸블리...
잉글랜드 vs 독일, 유로2020 16강 빅뱅	27일부터 30일까지 16강전…우승 후보 꼽힌 팀 모두 진출 - 호날두 A매치 최다 골 타이‘혈투’ 끝에 2020 유럽축구선수권대회() 16강 대진표가 완성됐다. 잉글랜드와 독일, 벨기에와 포르투갈 등 빅매치가...
[유로 기록실] 'EPL 우승자' 맨시티, 유로에선 어떨까?	24일 경기를 끝으로 조별리그를 마친 . 과연 국가대표에서 활약 중인 선수들 중 맨시티 선수들은 어떤 활약을 펼치고 있을까? '날렵한' 이미지와는 다르게 맨시티 선수들 역시 첼시와 다를 바 없이 수비진에서...
에릭센 응원 기운 얻은 덴마크, 러시아 완파…극적 유로 16강행	유럽축구선수권대회 에서 간판선수인 크리스티안 에릭센이 심정지로 쓰러지는 악재를 겪은 덴마크가 조별리그 최종전에서 러시아를 완파하고 극적으로 16강에 진출했습니다. 덴마크는 덴마크 코펜하겐의...
[유로 이슈] 덴마크 팬들, 벨기에전 관람 후 코로나 '델타 변이' 감염	유럽축구연맹(UEFA) 을 관람한 팬들이 코로나바이러스의 인도 변이인 델타 변이에 감염된 것으로 알려졌다. 코로나바이러스가 전 세계에 확산됐지만 은 '유관중'으로 진행되고 있다. 일부 경기장은 입장...
호날두 A매치 통산 최다골 타이…유로 16강 대진 확정	[사진=뉴시스] 크리스티아누 호날두가 A매치 통산 최다골 타이기록을 세운 가운데 포르투갈이 프랑스와 비기며 유럽축구선수권대회() 16강에 합류했다. 포르투갈은 24일(현지시간) 헝가리 부다페스트의...
잉글랜드, '빈공' 이유→세트피스 코치의 이직 [유로2020]	미러는 24일(이하 한국시각) 잉글랜드가  16강전에서 독일을 상대하게 됐다는 소식을 전했다. 이와 함께 사우스게이트 잉글랜드 감독의 선발 라인업에 변화가 있을 것이라고 전망했다. 핵심은 '세트피스'다. 미러는...
독일, 포르투갈 꺾고 유로2020 첫 승	독일이 포르투갈을 꺾고 2020 유럽축구선수권대회() 첫 승을 올렸다. 독일은 20일(한국시각) 독일 뮌헨 알리안츠 아레나에서 열린 대회 조별리그 F조 2차전 포르투갈전에서 4-2 역전승을 거뒀다. 이번 경기는 '미리...
독일, 포르투갈 꺾고 유로2020 첫 승	독일이 포르투갈을 꺾고 2020 유럽축구선수권대회() 첫 승을 올렸다. 독일은 20일(한국시각) 독일 뮌헨 알리안츠 아레나에서 열린 대회 조별리그 F조 2차전 포르투갈전에서 4-2 역전승을 거뒀다. 이번 경기는 '미리...
[유로 2020] 포르투갈, 프랑스와 2-2…조3위로 16강	크리스티아누 호날두가 A매치(국가대표팀 간 경기) 통산 최다 골 타이기록을 세운 포르투갈이 프랑스와 비기고 2020 유럽축구선수권대회() 16강에 턱걸이했다. 연합뉴스에 따르면 포르투갈은 24일 오전(한국시간)...
우승후보 잉글랜드 무패로 유로 16강 진출	잉글랜드 축구대표팀이 2020 유럽축구선수권대회() 조별리그를 무패로 통과했다. 잉글랜드는 23일(한국시각) 영국 런던의 웸블리 스타디움에서 열린 대회 조별리그 D조 3차전에서 체코를 1-0으로 이겼다. 전반...
잉글랜드vs독일, 벨기에vs포르투갈…유로 16강 대진 확정	안갯속 죽음의 조 혈투를 끝으로  조별리그가 마감됐다. 이제 지면 짐을 싸는 토너먼트에 돌입한다. 조별리그 마지막 F조에서 물고 물리는 싸움을 한 프랑스, 독일, 포르투갈이 16강 진출 티켓을 거머쥐었다....
라힘 스털링, 또 잉글랜드 살렸다...체코 잡고 조 1위 16강행 [유로 2020]	잉글랜드의 라힘 스털링이 22일(현지시간) 체코와의  D조 3차전에서 전반 12분 헤딩골을 넣은 뒤 세리머니를 하고 있다. 런던 | AP연합뉴스 이번에도 잉글랜드의 해결사는 라힘 스털링(26·맨체스터 시티)이었다....
2021년에 벌어진 ‘유로2020’에 숨은 경제학	팬데믹은 여전히 진행 중이지만 유럽의 미니월드컵인 은 취소되지 않고 보첼리의 무대를 신호로 공식적으로 시작됐다. 보통 유로는 한 국가 내에서, 혹은 이웃한 두 국가에 걸쳐서 개최돼 왔다. 이번...
[유로 REVIEW] 호날두 벤제마 '펄펄'…프랑스 포르투갈 나란히 16강 진출	프랑스와 포르투갈이 승패를 가리지 못했지만 나란히  16강 진출에 성공했다. 양 팀은 24일 오전 4시(한국 시간) 헝가리 부다페스트 푸스카스 아레나에서 열린 유럽축구연맹(UEFA)  F조 조별리그...
유로 3경기 ‘0골 0도움’… ‘손흥민’ 없으니 해리 케인도 평범 그 자체	에서 잉글랜드 대표팀의 에이스 해리 케인이 부진하자 손흥민이 필요하다는 보도가 이어지고 있다. 잉글랜드 대표팀은 지난 24일(한국시각) 마무리된  조별라운드에서 2승1무를 거둬 D조 1위로 16강에...
쏟아지는 골과 변수, '꿀잼' 유로의 귀환	소극적인 경기가 이어졌던 지난 대회와 달리 은 축구팬들의 기대를 충족시키는 화끈한 싸움으로 가득하다. 12일(한국시간) 이탈리아와 터키의 경기를 시작으로 개막한 은 24일 F조 최종전을 끝으로...
[헬로! 유로2020] 모드리치 있음에…크로아티아 극적으로 16강행	크로아티아는 2020 유럽축구선수권() 조별 라운드 최종전에서 극적으로 16강행 티켓을 거머쥐었다. 크로아티아는 23일(한국시간) 스코틀랜드 글래스고에 위치한 햄든 파크에서 열린 대회 조별라운드 D조...
크로스부터 음바페까지, 유로2020은 호날두 친목의 장	크리스티아누 호날두(포르투갈)가  대회에서 옛 동료들과 친목을 다지고 있다. 이번  대회의 포르투갈의 경기가 끝나면 중계 카메라는 무조건 호날두의 얼굴을 비췄다. 그가 조별리그 세 경기에서 모두 골을...
[인포그래픽] 호날두, 유로 통산 최다 14골…5개 대회 연속 득점 '최초'	호날두는 6월 24일(한국시간) 헝가리 부다페스트의 푸스카스 아레나에서 열린  조별리그 F조 3차전 프랑스와의 경기에서 페널티킥으로 두 골을 추가했습니다. 페널티킥으로 얻은 기회를 두 차례 모두 성공시킨...
[유로2020 리뷰 B조] '에릭센 효과' 덴마크, 기적 같은 16강 진출	B조 순위표 <16강 일정 안내> 16강 1경기 웨일스 vs 덴마크 - 6월 27일 오전 1시 (네덜란드, 암스테르담) 16강 4경기 벨기에 vs A/E/F조 3위 - 6월 28일 오전 4시 (스페인, 세비야) / 사진=AP/EPA/연합뉴스/ 공식 홈페이지
유로2020 16강 대진 확정...잉글랜드-독일, 벨기에-포르투갈 등	2020 유럽축구선수권대회() 16강부터 강호들의 맞대결이 성사됐다. 잉글랜드-독일, 벨기에-포르투갈의 대결이 큰 관심을 모은다. 24일(한국시간) E조, F조의 조별리그 일정이 모두 끝나면서 16강 토너먼트...
英, 신규 확진 1.1만명에도 유로 2020 6만명 입장 허용	이런 상황에서 영국 정부는 런던 웸블리 스타디움에서 열리는 2020 유럽축구선수권대회() 준결승과 결승전에 관중 수용 인원을 6만명까지 허용하겠다고 발표했다. 경기를 관람하기 위해서는 코로나19 음성...
[지구촌 포토] 유로 2020 독일-헝가리전, 무지갯빛으로 물들어	
'스털링 결승골' 잉글랜드, 체코 1대 0으로 꺾고 유로 16강 안착	유럽축구선수권 에서 잉글랜드가 라힘 스털링의 결승 골을 앞세워 '난적' 체코를 제압하고 조별리그 무패 행진으로 16강에 진출했습니다. 잉글랜드는 영국 런던의 웸블리 스타디움에서 열린 체코와 대회...
유로 결승전 열리는 英, 신규확진 1만6천명대로 '껑충'	[리포트] 다음달  결승전이 열리는 런던 웸블리 스타디움입니다. 응원 열기에 곳곳마다 축구팬들로 가득합니다. 현지시간 23일, 영국은 코로나 확진자가 만6000명에 달했습니다. 지난 2월 이후 가장 많은...
리네커 "마운트 자가격리...스코틀랜드 선수단은?" [유로2020]	잉글랜드의  조별예선 마지막 경기인 23일까지 두 선수의 자가격리가 끝날 것으로 보이지 않는다고 미러는 보도했다. 조 2위에 위치해 있지만 3위, 4위와 승점차가 단 3점에 불과하기 때문에 급한길 가야하는...
유로2020 조별리그서 체코 꺾고 16강 진출한 잉글랜드	22일(현지시간) 영국 런던의 웸블리 스타디움에서 열린 2020 유럽축구선수권대회() 조별리그 D조 3차전 잉글랜드 대 체코의 경기에서 잉글랜드의 라힘 스털링(앞·27)이 득점한 뒤 세리머니를 하고 있다....
유로 2020 16강 확정…잉글랜드 vs 독일, 벨기에 vs 포르투갈 빅매치 성사	2020 유럽축구선수권()이 치열한 조별리그를 마치면서 16강 진출팀이 모두 가려졌다. ‘죽음의 조’로 불린 F조에서는 프랑스 독일 포르투갈이 모두 16강에 올랐다. 전 대회 우승팀인 디펜딩챔피언 포르투갈은...
